,useridentifier,headers.x-session-id,id,event,timestamp,feed
23316,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5yamh4NGNkbmw4,/sale/dailyobjects/wallets,,2021-05-20 08:43:59.928,
23371,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5kYTM0Ym44aTFj,/portable-multi-functional-uv-sterilizer-wireless-charger,,2021-05-20 08:42:12.547,
23415,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5waGxpamRiZGx6OQ==,/fn/nop,screen_view_cp,2021-05-20 08:43:17.601,"{'screen_name': 'cp', 'filters': ''}"
23422,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5yamh4NGNkbmw4,/fn/nop,screen_view_lp,2021-05-20 08:44:00.542,"{'screen_name': 'lp', 'filters': 'cid~2003'}"
23575,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:42.335,
23584,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5qN2N5OG9ybXF1,/fn/nop,screen_view_cp,2021-05-20 08:43:37.627,"{'screen_name': 'cp', 'filters': ''}"
23591,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:02.545,
23592,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:02.945,
23593,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:03.605,
23703,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5qN2N5OG9ybXF1,/fn/nop,screen_view_lp,2021-05-20 08:43:40.324,"{'screen_name': 'lp', 'filters': 'cid~2002'}"
23720,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:45.521,
23721,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:45.892,
23722,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:46.247,
23754,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5veXJkMXg4MGJk,/fn/nop,screen_view_dp,2021-05-20 08:43:01.456,"{'screen_name': 'dp', 'filters': 'pid~UV-PROT-PACK'}"
23795,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5waGxpamRiZGx6OQ==,/fn/nop,screen_view_lp,2021-05-20 08:43:18.827,"{'screen_name': 'lp', 'filters': 'cid~2001'}"
23849,60a5daf60da2c6793191eac5,MC5yZ3RzNm4za3I5cQ==,/samsung-mobile-cases/rfp,,2021-05-20 03:44:13.794,
23893,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5waGxpamRiZGx6OQ==,/sale/dailyobjects/crossbody-bags,,2021-05-20 08:43:16.942,
23924,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5yamh4NGNkbmw4,/sale/dailyobjects/wallets,,2021-05-20 08:43:58.573,
23942,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:06.656,
23975,60a5daf60da2c6793191eac5,MC5yZ3RzNm4za3I5cQ==,/vivo-mobile-cases/rfp,,2021-05-20 03:44:36.844,
24010,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC44N2JudTYzNWExZQ==,/fn/nop,screen_view_cp,2021-05-20 08:41:51.815,"{'screen_name': 'cp', 'filters': ''}"
24110,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:48.277,
24171,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5qN2N5OG9ybXF1,/tote-bags/lp,,2021-05-20 08:43:38.581,
24173,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:06.847,
24174,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:08.038,
24191,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:46.365,
24192,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:47.732,
24238,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:03.931,
24239,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:05.430,
24310,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:51.713,
24364,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:12.208,
